names,,,,1-1,1-2,2-1,2-2,3-1,3-2,4-1,4-2,5-1,5-2,6-1,6-2,7-1,7-2,8-1,8-2,9-1,9-2,10-1,10-2,11-1,11-2,12-1,12-2,13-1,13-2,14-1,14-2,15-1,15-2,16-1,16-2,17-1,17-2,18-1,18-2,19-1,19-2,20-1,20-2,21-1,21-2,22-1,22-2,23-1,23-2,24-1,24-2,25-1,25-2
(anonymous user #1556345),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@florianmari,,,,23,23,56,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91
Abdul ,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Fallon,,,,59,112,168,225,285,346,384,422,471,523,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556
Akeboshiwind,,,,54,109,152,196,232,232,232,232,232,232,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274
Bense,,,,68,136,203,271,338,402,465,522,587,653,720,763,828,893,958,1009,1074,1122,1187,1251,1317,1383,1435,1487,1552,1618,1682,1682,1738,1794,1853,1853,1918,1983,2045,2108,2108,2108,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176
Capm96,,,,55,111,163,215,266,317,376,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436
Daniel Mears,,,,26,54,91,130,175,214,265,317,357,397,447,491,549,587,646,692,738,784,829,874,933,985,1036,1089,1141,1193,1252,1252,1252,1252,1252,1252,1252,1252,1252,1252,1252,1252,1252,1252,1252,1252,1252,1252,1252,1252,1252,1252,1252,1252
Danielle Vass,,,,63,126,184,242,304,366,433,501,562,620,682,746,813,880,948,1017,1084,1150,1210,1272,1333,1394,1453,1513,1568,1624,1682,1744,1803,1861,1923,1923,1981,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039
Dave Storey,,,,14,32,50,70,93,123,173,226,264,303,350,400,462,524,586,651,713,772,835,898,958,1018,1081,1145,1207,1268,1330,1394,1460,1527,1592,1657,1657,1657,1657,1657,1657,1657,1657,1657,1722,1722,1722,1722,1722,1722,1722,1722,1722,1722
David Gu,,,,52,100,135,171,205,246,294,343,394,444,489,537,583,630,676,728,777,830,882,935,991,1048,1108,1169,1223,1277,1328,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382
Deepika Deepika,,,,58,116,163,211,270,305,358,409,462,515,571,623,677,729,785,827,868,911,954,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997,997
Diogo Cabral,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eduardo Almeida,,,,57,116,164,214,257,307,361,417,469,523,574,630,677,726,775,833,886,944,997,1051,1104,1158,1216,1274,1331,1388,1441,1498,1561,1622,1685,1748,1812,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876
Ezgi Erden,,,,40,82,108,135,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167
Federico,,,,25,52,90,130,174,226,283,342,402,463,516,575,626,680,730,787,839,896,953,1013,1071,1130,1192,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251
Gareth H,,,,47,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94
Jakub Rusek,,,,46,92,137,180,218,245,279,314,355,396,442,493,541,591,639,692,742,794,844,895,950,1006,1056,1107,1157,1207,1259,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310
Jamie Moreland,,,,31,64,89,115,141,170,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205
Jen Strong,,,,17,17,33,33,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Jeremy Le François,,,,69,138,207,274,338,403,469,535,602,667,732,797,863,929,996,1060,1121,1176,1242,1308,1372,1436,1503,1570,1636,1701,1766,1834,1894,1954,1954,1954,1954,1954,1954,1954,1954,1954,1954,1954,1954,1954,1954,1954,1954,1954,1954,1954,1954,1954
Jules Copeland,,,,53,107,143,180,229,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284
Julia Segal,,,,56,113,170,226,273,320,378,436,492,549,610,671,728,783,830,884,942,996,1042,1088,1135,1182,1235,1289,1342,1395,1461,1517,1574,1637,1698,1760,1817,1874,1939,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004
Julien Duponchelle,,,,13,13,30,49,49,49,49,49,49,49,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
KCh-work,,,,39,79,130,181,227,276,331,386,444,503,557,617,666,714,765,821,869,920,971,1023,1077,1132,1189,1246,1304,1362,1418,1479,1541,1598,1658,1719,1778,1837,1900,1964,1964,1964,2030,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
Kimbsy,,,,66,133,201,270,339,408,476,543,611,679,748,815,884,952,1013,1079,1145,1213,1280,1347,1414,1481,1546,1611,1679,1747,1815,1882,1949,2014,2082,2149,2217,2285,2352,2419,2487,2555,2622,2690,2758,2826,2826,2826,2826,2826,2826,2826,2826,2826
Laurence,,,,21,46,77,109,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
Leo Sammarco,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lester Sanchez,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lorenzo Masucci,,,,32,64,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106
MaliTaba,,,,41,78,106,134,195,254,297,339,384,430,469,511,555,600,653,703,754,803,861,911,956,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
Martin Cheesbrough,,,,28,57,107,154,212,272,317,363,409,456,519,585,648,712,776,839,903,968,1030,1091,1154,1217,1281,1344,1407,1471,1534,1599,1660,1719,1785,1851,1917,1983,2049,2115,2115,2115,2115,2115,2115,2115,2115,2115,2115,2115,2115,2115,2115,2115
Mateusz Domański,,,,38,77,138,199,254,308,369,430,494,558,617,674,715,757,801,849,906,969,1025,1081,1133,1186,1242,1298,1357,1417,1471,1526,1526,1526,1526,1526,1587,1648,1648,1648,1648,1648,1648,1648,1648,1648,1648,1648,1648,1648,1648,1648,1648,1648
Mateusz Drewniak,,,,62,124,177,230,282,338,387,437,480,524,573,626,685,744,796,855,909,969,1023,1078,1135,1193,1254,1316,1372,1427,1482,1541,1599,1663,1663,1663,1726,1789,1789,1789,1789,1789,1789,1789,1789,1789,1789,1789,1789,1789,1789,1789,1789,1789
MattKeyTL,,,,36,72,111,152,218,286,351,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416
Meriem Chelbi,,,,50,99,148,197,228,265,302,339,394,450,490,535,588,641,695,695,740,785,833,881,946,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011
Michal Kaminski,,,,61,121,181,241,297,355,402,450,504,559,619,673,723,774,831,892,947,1003,1064,1123,1174,1225,1273,1322,1383,1445,1505,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565
Mike Reeves,,,,67,133,199,265,333,400,462,525,587,650,708,771,816,862,925,987,1047,1108,1172,1237,1287,1337,1403,1469,1533,1596,1657,1720,1784,1850,1914,1978,2038,2098,2098,2098,2098,2098,2098,2098,2165,2165,2165,2165,2165,2165,2165,2165,2165,2165
Mina Sameh,,,,49,101,165,229,294,360,424,488,554,621,687,755,816,877,943,1010,1078,1145,1214,1282,1350,1418,1486,1554,1621,1688,1755,1821,1889,1957,2024,2092,2159,2226,2295,2363,2430,2497,2561,2626,2626,2626,2626,2626,2626,2626,2626,2626,2626,2626
Natalie Akam,,,,29,59,124,189,246,299,345,390,447,489,533,582,642,702,762,822,881,928,977,1026,1075,1124,1179,1227,1276,1325,1375,1427,1427,1427,1427,1427,1427,1427,1427,1427,1427,1427,1427,1427,1427,1427,1427,1427,1427,1427,1427,1427,1427,1427
Nilesh Pagar,,,,37,75,109,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142
Oliver Poole,,,,43,86,132,178,217,263,319,373,423,474,526,584,622,661,700,700,740,740,740,740,740,740,740,740,740,740,740,740,740,740,740,740,740,740,740,740,740,740,740,740,740,740,740,740,740,740,740,740,740,740
OussamaRomdhane,,,,16,36,57,79,104,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136
Pedro Antunes,,,,51,101,145,190,230,273,333,395,458,520,584,639,703,766,824,879,942,1006,1065,1123,1185,1247,1301,1356,1416,1475,1532,1590,1655,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717
Peter Coward,,,,60,121,176,230,280,311,343,376,413,451,489,530,572,615,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658
Richard Kotze,,,,11,26,40,56,75,100,129,159,192,225,259,296,332,368,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405
Savvas Georgiou,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stefan,,,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Stefan Lage,,,,33,67,126,185,239,296,348,395,454,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514
Timothy Williams,,,,19,41,65,90,131,176,218,262,304,347,388,434,486,542,587,634,681,731,778,825,873,921,970,1020,1071,1122,1171,1224,1224,1224,1224,1224,1286,1348,1412,1412,1412,1412,1477,1543,1609,1609,1609,1609,1609,1609,1609,1609,1609,1609
Tuffail,,,,48,99,139,181,209,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
Vinicius Leal,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zena Hira,,,,65,130,192,254,317,380,449,518,587,656,724,793,861,930,999,1067,1136,1205,1273,1342,1411,1480,1549,1618,1687,1756,1825,1894,1963,2032,2101,2170,2239,2308,2376,2445,2514,2583,2652,2721,2790,2859,2859,2859,2859,2859,2859,2859,2859,2859
a-bagley,,,,30,61,115,170,223,271,311,352,387,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423
afrappa,,,,34,69,98,128,158,192,225,259,298,332,367,405,442,479,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517
ahorvath008,,,,27,43,58,75,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
akiko,,,,44,89,130,168,205,247,288,328,372,417,465,512,555,599,640,685,729,773,817,861,907,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953
alikyo,,,,24,50,82,116,158,191,227,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263
dr3,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eli77rhm,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ganzogo,,,,64,128,191,254,302,346,390,433,480,528,583,645,700,758,813,862,918,980,1035,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092
lamphamTL,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pkiddie,,,,45,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89
srecheandia,,,,18,39,61,84,117,157,188,220,256,293,330,370,410,451,491,535,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578
ssingh,,,,42,83,106,130,159,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
syrine trabelsi,,,,22,46,76,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107
tait-trainline,,,,35,58,85,114,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141
tanguy-martin,,,,20,37,57,78,102,130,169,208,256,305,362,362,418,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475
tlanuars,,,,15,34,53,71,92,118,148,179,213,248,284,323,362,402,444,487,529,571,613,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655
